iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6501","HITACHI LTD","Industrials","Equity","28,252,966.71","0.15","28,252,966.71","1,122,300.00","25.17","Japan","Tokyo Stock Exchange","USD","148.57","JPY","-"
"1810","XIAOMI CORP","Information Technology","Equity","27,981,152.67","0.15","27,981,152.67","3,896,200.00","7.18","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","27,861,868.65","0.15","27,861,868.65","270,215.00","103.11","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","27,525,262.20","0.14","27,525,262.20","92,553.00","297.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSG","UBS GROUP AG","Financials","Equity","27,407,562.86","0.14","27,407,562.86","824,613.00","33.24","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","27,262,654.64","0.14","27,262,654.64","275,158.00","99.08","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","27,120,972.04","0.14","27,120,972.04","116,444.00","232.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","27,104,464.98","0.14","27,104,464.98","1,202,720.00","22.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","27,018,807.59","0.14","27,018,807.59","1,371,180.00","19.70","India","National Stock Exchange Of India","USD","86.80","INR","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","26,907,937.21","0.14","26,907,937.21","1,047,409.00","25.69","United States","NASDAQ","USD","1.00","USD","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","26,658,108.60","0.14","26,658,108.60","135,229.00","197.13","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
